11510 22800
-0.188099 -0.155237 0.428589
-0.056474 -0.219783 0.508251
-0.053531 -0.198636 0.513578
-0.046708 -0.166347 0.508076
-0.088132 -0.214271 0.495791
-0.084910 -0.194026 0.500563
-0.077130 -0.163993 0.497872
-0.121933 -0.095864 0.501039
-0.117079 -0.112534 0.498965
-0.108844 -0.134649 0.487678
-0.184199 -0.175132 0.428714
-0.179255 -0.168099 0.432721
-0.170963 -0.157996 0.437159
-0.154626 -0.106950 0.479386
-0.149451 -0.121071 0.477862
-0.139387 -0.140234 0.469356
-0.090636 -0.081047 0.517822
-0.086115 -0.102394 0.516602
-0.078076 -0.131253 0.504971
-0.204899 -0.168415 0.411934
-0.196830 -0.163845 0.419978
-0.186133 -0.158570 0.426479
-0.156560 -0.184805 0.449774
-0.151691 -0.174947 0.452957
-0.142382 -0.159631 0.455142
-0.009978 -0.143505 0.499960
-0.101789 -0.142454 0.471714
-0.175304 -0.156907 0.424548
0.003628 -0.153712 0.503062
-0.071438 -0.148326 0.488530
-0.019540 -0.152497 0.501825
-0.044293 -0.150387 0.497261
-0.163714 -0.155597 0.433492
-0.172639 -0.156015 0.427115
-0.041397 -0.143136 0.496848
-0.070203 -0.141477 0.488083
-0.128107 -0.151666 0.457921
-0.157407 -0.152863 0.435410
-0.148880 -0.154079 0.444299
-0.101084 -0.149097 0.474031
-0.172621 -0.156747 0.426495
-0.131327 -0.147726 0.451885
-0.008879 -0.153433 0.471897
-0.099797 -0.161132 0.447044
-0.169532 -0.159288 0.410515
0.005096 -0.133625 0.481298
-0.066580 -0.130717 0.466767
-0.017202 -0.133089 0.479406
-0.040621 -0.131891 0.474730
-0.155414 -0.136622 0.422704
-0.166557 -0.146405 0.414395
-0.040310 -0.154949 0.468901
-0.069121 -0.156777 0.460982
-0.119865 -0.131060 0.444181
-0.151381 -0.170887 0.419275
-0.139630 -0.132562 0.433376
-0.094576 -0.130376 0.455739
-0.164464 -0.168668 0.410981
-0.129037 -0.167084 0.432387
0.004739 -0.147586 0.489608
-0.017683 -0.146993 0.488027
-0.041194 -0.145632 0.483480
-0.067205 -0.144352 0.475213
-0.095323 -0.144329 0.463176
